,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
408,most,comparee,points,who,driver,points,#,most,who had the most points ?
409,last,comparee,position,who,driver,position,#,most,who was in the last position ?
410,first,comparee,#,who,driver,#,#,least,who is the first driver listed ?
411,first,comparee,#,who,driver,#,#,nan,who was the driver for the t-bird that finished first ?
412,highest,comparee,#,which,driver,#,driver,most,which driver placed highest for roush racing ?
413,first,comparee,movie,what,name,movie,#,least,what was the first movie she stared in with the banner pratiba ?
414,last,comparee,movie,what,name,movie,#,most,what was the name of the last movie the actress appeared in ?
415,most,comparee,movies,which,year,movies,year,most,which year did the actress star in the most movies ?
416,#,difference,#,what,#,#,thunakkadavu,nan,what is the difference in altitude between thunakkadavu and peechi ?
417,less,index,#,does,#,#,#,less,does the ae 8/8 weigh more or less than the re 6/6 ?
418,#,difference,weight,what,weight,weight,the 060-ea,nan,what is the difference in weight between the 060-ea and the challenger ?
419,#,difference,weight,what,weight,weight,re 465,nan,what is the difference in weight between the re 465 and the ae 6/6 ?
420,least,comparee,weight,which,locomotive,weight,locomotive,nan,which locomotive weighs the least ?
421,least,comparee,amount of power,which,locomotive,amount of power,locomotive,least,which locomotive had the least amount of power ?
422,largest,difference,locomotives,how many,locomotive,locomotives,locomotive,most,how many locomotives make the list of the largest locomotives ?
423,more,comparee,tournaments,which,winner,tournaments,jeff maggert,more,"which winner won more tournaments, jeff maggert or tiger woods ?"
424,first,comparee,tournaments,what,country,tournaments,#,least,what was the country listed the first time there was a new tournament ?
425,least,comparee,participants,what,countries,participants,counties,least,what counties had the least participants for the race ?
426,first,comparee,competitor,what,nationality,competitor,#,least,what was the nationality of the first ranked competitor ?
427,first,comparee,person,who,#,person,#,least,who was the first person of the race to break the nine minute mark ?
428,first,comparee,runner,who,#,runner,#,least,who was the first runner to place from kenya ?
429,shortest,comparee,player,who,player,player,#,least,who is the shortest player on this team ?
430,last,comparee,team,whose,player,team,last,most,who is the only player whose last team was chemosvit svit ?
431,#,difference,#,what,#,#,tie no 1,nan,what is the difference in attendance in tie no 1 and 4 ?
432,bigger,comparee,#,which,crowd,#,first,least,"which crowd was bigger, the first or third game ?"
433,least,comparee,attendants,which,#,attendants,tie,least,which tie no had the least attendants ?
434,fastest,difference,lap,how many,times,lap,#,nan,how many times did leonardo maia have the fastest lap ?
435,first,difference,#,what,#,#,the first volume published,least,what is the difference in years between the first volume published and the 13th volume published ?
436,most,comparee,maps,which,#,maps,volume,most,which volume had the most maps ?
437,first,comparee,the number of pages,which,year,the number of pages,year,least,in which year did the number of pages first increase ?
438,most,comparee,#,which,nan,#,one,most,which one has the most images
439,least,comparee,number of images,what,building,number of images,year,least,in what year were there the least number of images ?
440,least,comparee,number of images,which,#,number of images,volume,least,which volume had the least number of images ?
441,most,comparee,#,which,state,#,#,most,which state is the most represented by the 11 institutions ?
442,most,comparee,students,#,school,students,#,most,the school with the most students ?
443,highest,comparee,enrollment,which,school,enrollment,institution,most,which institution has the highest enrollment after elmhurst college ?
444,most,comparee,member,which,school,member,state,most,which state has the most member schools ?
445,last,comparee,#,what,city/town/village,#,#,most,what is the last city/town/village listed in the table ?
446,first,comparee,#,what,city/town/village,#,#,least,what is the first city/town/village listed in the table ?
447,first,comparee,episode,who,#,episode,#,least,who wrote the first episode of the season ?
448,higher,comparee,#,which,peak,#,mont blanc,nan,"which peak is higher, mont blanc or monte rosa ?"
449,more or less,index,#,is,#,#,pizzo di coca,nan,"according to the list of alpine peaks by prominence, is pizzo di coca more/less than 2000 m ?"
450,tallest,comparee,#,what,#,#,#,most,what is the tallest peak in the alps ?
451,first,comparee,show,what,show,show,#,least,what is the first show to play on monday mornings ?
452,last,difference,#,how,#,#,#,nan,how long does the show defcon 3 last ?
453,least,comparee,opposition,what,team,opposition,team,least,what team scored the least opposition strength ?
454,same,index,#,was,#,#,#,least,tell me a match that matchup was the same as the first one.
455,highest,comparee,number,which,team,number,team,most,which team scored the highest number of ranking points in games that were won on penalties ?
456,last,comparee,#,which,match,#,match,most,which match was the last of the world cup finals ?
457,#,difference,#,what,#,#,amplistan,nan,what is the difference of opposition strength for match amplistan vs. bestrudia
458,most,comparee,wins,which,opponent,wins,opponent,most,which opponent has the most wins
459,higher,index,rank,did,#,rank,austria,nan,did austria or russia rank higher ?
460,longer,index,time,does,#,time,russia,more,does russia or japan have the longer time ?
461,most,comparee,medals,which,country,medals,country,most,which country had the most medals in the competition ?
462,last,comparee,#,which,competitor,#,competitor,most,which competitor was the last to place ?
463,top,comparee,time,who,#,time,finished,least,who finished with the top time ?
464,last,comparee,finisher,who,#,finisher,#,most,who was the last finisher from the us ?
465,largest,comparee,number of points,which,player,number of points,player,most,which player scored the largest number of points in one game in april ?
466,most,difference,assists,how many,consecutive games,assists,#,most,in how many consecutive games was ty lawson the player with the most assists ?
467,longer,comparee,#,who,#,#,abundis,nan,"who coached the silverbacks longer, abundis or chacon ?"
468,last,comparee,#,who,#,#,#,most,who is the last to coach the san antonio scorpions ?
469,top,comparee,#,what,name,#,name,nan,what name is listed at the top ?
470,oldest,comparee,#,which,#,#,henry w baker house,nan,"which is the oldest, henry w. baker house or annapolis park historic district ?"
471,first,comparee,barn,what,#,barn,#,least,what was the first barn built in livonia ?
472,last,comparee,position,which,building,position,#,most,which was the last building built ?
473,more,difference,threads,how many,#,threads,#,more,how many more threads per inch does the 1/16th whitworth size have over the 1/8th whitworth size ?
474,top,comparee,threads,what,#,threads,#,least,what is the top amount of threads per inch ?
475,first,comparee,#,what,nan,#,#,least,what is the total of the first two core diameters ?
476,first,comparee,#,what,diameter,#,#,least,what is the core diameter of the first 1/8 whitworth size (in) ?
477,last,comparee,whitworth thread size,what,diameter,whitworth thread size,#,most,what is the core diameter of the last whitworth thread size ?
478,least,comparee,core diameter,what,diameter,core diameter,#,least,what is the least core diameter (in) ?
479,same,index,core diameter,does,#,core diameter,#,equal,does any whitworth size have the same core diameter as the number drill 26 ?
480,first,comparee,destination,what,destination,destination,#,least,what is the first destination in the chart ?
481,first,comparee,passenger,what,destination,passenger,#,least,what is the destination of the first passenger train to leave mangalore central ?
482,more,comparee,official guests,which,year,official guests,2012,more,in which year were there more official guests--2012 or 2013 ?
483,first,comparee,location,where,location,location,#,least,"where was the first location used in august, 1976 ?"
484,first,comparee,date,what,date,date,#,least,what was the first date that had official guests ?
485,last,comparee,date,where,location,date,#,most,where was the last date held ?
486,first,comparee,year,what,year,year,#,least,what was the first year the event was held at the pick-congress hotel in chicago ?
487,last,comparee,chicago comicon,what,year,chicago comicon,year,most,in what year was the last chicago comicon to take place in chicago ?
488,top,comparee,medals,#,nation,medals,#,least,the top ranked nation for total medals won
489,fewest,difference,gold medals,how many,bronze medals,gold medals,#,least,how many bronze medals were won by the nation with the fewest gold medals ?
490,least,comparee,bronze medals,which,nation,bronze medals,nation,least,which nation received the least bronze medals
491,least,comparee,number of bronze medals,which,nation,number of bronze medals,nation,least,which nation won the least number of bronze medals ?
492,first,comparee,rank,which,country,rank,country,least,which country was first in rank at the 1972 olympics ?
493,most,comparee,gold medals,what,number,gold medals,number,most,what number of silver medals was won by the nation with the most gold medals ?
494,fastest,difference,trains,what,speed,trains,the fastest,nan,what is the difference in speed number of the fastest and slowest trains in km/h ?
495,fastest,comparee,test,where,location,test,#,nan,where was the location for the fastest test done ?
496,first,comparee,speed,what,date,speed,#,least,what was the date of the first speed recorded that was over 450 km/h ?
497,first,comparee,#,what,date,#,#,least,what is the next date after the first date on the list ?
498,oldest,comparee,locomotive,which,locomotive,locomotive,#,most,which is the oldest locomotive ?
499,first,comparee,year,what,year,year,#,least,what is the first year entered service year ?
500,most,comparee,consecutive gauges,what,#,consecutive gauges,#,most,what is the most consecutive gauges that were standard ?
501,more,index,goals,did,#,goals,#,more,did brazil score more goals against the soviet union or portugal in 1982 ?
502,top,comparee,#,what,date,#,date,least,what date is at the top of the list ?
503,first,difference,#,how many,times,#,#,least,how many times did the competitor finish first in the javelin throw ?
504,top,comparee,times,what,times,times,#,least,what is the total number of times mckoy placed in the top 3 ?
505,first,comparee,competition,what,time,competition,year,least,what year was the first competition ?
506,shortest,comparee,#,what,#,#,mckoy,least,what is the difference between mckoy's longest and shortest javelin throws ?
507,last,comparee,venue,where,location,venue,#,most,where was the location of the last venue held ?
508,less,index,time,did,#,time,john howard,less,did john howard serve as prime minister for more or less time than julia gillard ?
509,younger,index,#,was,#,#,edmund barton,least,was edmund barton or alfred deakin younger at the beginning of his first term ?
510,older,difference,ministers,how many,#,ministers,#,least,how many australian prime ministers were older than 50 at the time they began their first term ?
511,most,difference,days,how many,#,days,#,most,the most number of days an australian prime minister was in office was how many days ?
512,first,comparee,prime minister,who,#,prime minister,#,least,who was the first prime minister ?
513,most,comparee,nwa southern tag team champions,who,name,nwa southern tag team champions,#,most,who won the most nwa southern tag team championships (mid-america version) ?
514,#,difference,#,what,#,#,fastest runner,nan,what is the difference between the time of the fastest runner and the slowest ?
515,first,comparee,#,who,#,#,#,least,who came in first place ?
516,top,comparee,finishers,what,country,finishers,country,least,what country had the most top 10 finishers in the men's 15 kilometre classical ?
517,top,comparee,#,what,country,#,#,least,what is the top placed country ?
518,first,comparee,rank,which,country,rank,country,least,which country went first in this competition ?
519,least,comparee,points,which,country,points,country,least,which country received the least amount of points in the 2008 ogae second chance contest ?
520,first,comparee,position,what,country,position,#,least,what was the first country on the list to not place in the national finals ?
521,more,comparee,drivers,who,#,drivers,team avanti,more,"who had more drivers, team avanti or motaworld racing ?"
522,most,comparee,engine,which,engine,engine,#,most,which engine was used the most by teams this season ?
523,#,difference,attendees,what,#,attendees,"februry 10,1979",nan,"what is the difference in attendees for maryland on february 10, 1979 to february 11, 1978 ?"
524,first,comparee,#,which,team,#,team,nan,"which team, ranked first, also finished as winner in the 1985 acc women's basketball tournament ?"
525,first,comparee,position,who,team,position,#,least,who was the first team to be champion of the tournament ?
526,least,comparee,attendees,who,team,attendees,#,least,who had the least amount of attendees ?
527,last,index,external change,was,#,external change,#,most,when was the last external change made on chateau du plessis-bourré ?
528,earlier,comparee,#,who,name,#,wichaya,nan,"who was appointed earlier, wichaya or pue-on ?"
529,last,comparee,name,what,name,name,#,most,what is the last name on the list ?
530,shortest,comparee,#,which,version,#,#,nan,which version is the shortest ?
531,last,comparee,#,what,version,#,#,most,what was the last version of this song to be created in 2005 ?
532,shortest,comparee,#,what,song,#,#,least,what was the shortest song ?
533,first,comparee,#,what,nan,#,#,least,what is the number of games that gillingham and peterborough united played in the first round proper ?
534,last,comparee,position,what,team,position,#,least,what was the last team to win in the first round proper ?
535,first,comparee,game,what,score,game,#,least,what was the score of the first game blackpool played in ?
536,first,difference,#,how many,nan,#,#,least,"how many replays were there in the first round proper, november 1988 ?"
537,first,comparee,#,what,nan,#,#,least,"what was the total number of home team wins in the first round proper, november 1988 ?"
538,first,difference,#,how many,nan,#,#,least,how many consecutive games did enfield and leyton orient play in the first round proper ?
539,first,comparee,#,who,name,#,#,least,who one the first match up in 2005 ?
540,more,comparee,gold medals,who,#,gold medals,jamaica,more,who won more gold medals between jamaica and mexico ?
541,top,comparee,silver medals,what,country,silver medals,#,least,what country had the top number of silver medals ?
542,last,comparee,#,what,bridge,#,#,most,what was the last bridge built ?
543,first,comparee,position,which,#,position,#,least,which of these bridges was the first one built ?
544,first,comparee,asian games,what,year,asian games,year,least,what year did the first asian games take place ?
545,more,difference,affiliates,how many,networks,affiliates,#,more,how many networks have more affiliates than canal de las estrellas ?
546,most,comparee,affiliates,who,#,affiliates,#,most,who has the most number of affiliates ?
547,most,comparee,networks,which,owner,networks,#,most,which owner has the most networks ?
548,more,index,points,were,#,points,butler,more,were more points scored against butler or purdue ?
549,larger,comparee,attendance,which,#,attendance,january 8,nan,"which game had a larger attendance, january 8 or december 11 ?"
550,#,difference,attendance,what,attendance,attendance,the december 11 game against depaul,nan,what was the difference in attendance between the december 11 game against depaul and the december 30 game against colgate ?
551,more,comparee,points,which,#,points,first,least,"which game did illinois score more points, the first or last ?"
552,last,comparee,position,what,team,position,#,most,what was the last team this team played against in this season ?
553,last,comparee,iec world plugs type,what,#,iec world plugs type,#,most,what is the last iec world plugs type in the list ?
554,last,comparee,power,what,#,power,#,most,what is the last power rating on the chart ?
555,first,comparee,position,what,type,position,#,least,what is the first type and standard on the chart
556,higher,comparee,#,which,psip,#,wivx-id,nan,"which psip is higher, wivx-ld or wivm-ld ?"
557,more,comparee,stations,which,location,stations,loudonville,more,"which location has more stations, loudonville or newcomerstown ?"
558,most,comparee,#,which,#,#,programming,nan,which programming is played the most ?
559,#,difference,runs,what,#,runs,#,nan,what was the difference in runs between the two teams on september 15 ?
560,first,comparee,#,what,event,#,event,least,in what event did chelsea williams win her first title ?
561,top,comparee,#,who,performer,#,#,least,who was the top performer in the 2008 telstra men's pro ?
562,first,comparee,#,which,event,#,event,least,at which event did taylor jensen first win ?
563,#,comparee,points,what,#,points,#,nan,what was the difference in points scored between the two teams in 1996 ?
564,most,comparee,points,who,name,points,#,most,who scored the most points against nw missouri state in a quarterfinal ?
565,most,comparee,points,what,#,points,#,most,what was the most points the team scored ?
566,last,difference,season,what,#,season,#,most,what was the difference in placing between the 1988/89 season and the last season before it ?
567,first,comparee,#,what,#,#,season,least,in what season did they finish in first place ?
568,first,comparee,#,which,#,#,season,least,which season places first in their division ?
569,#,difference,number,what,#,number,the number of plants in algeria,nan,what is the difference between the number of plants in algeria and the number of plants in indonesia ?
570,largest,comparee,capacity,what,#,capacity,plant,most,"next to rasgas, what plant has the largest capacity ?"
571,first,comparee,#,which,plant,#,plant,least,which plant was the first to open ?
572,most,comparee,#,which,plants,#,country,most,which country had the most plants start after 1990 ?
573,most,comparee,#,which,plants,#,country,most,which country has the most plants ?
574,oldest,comparee,#,which,plant,#,plant,nan,which plant is the oldest ?
575,first,comparee,position,who,driver,position,#,least,who is the first driver on the list ?
576,last,comparee,position,who,constructor,position,#,most,who is the last constructor ?
577,last,comparee,position,what,award,position,#,most,what was the last award to be won by this show ?
578,larger,comparee,votes,who,#,votes,macneill,nan,"who got a larger number of votes, macneill or olsson ?"
579,more,difference,votes,how many,candidates,votes,#,more,how many candidates had more votes than tamara lorincz ?
580,least,comparee,votes,who,#,votes,#,least,who received the least amount of votes ?
581,most,comparee,votes,who,#,votes,#,most,who has the most votes ?
582,first,comparee,riding,what,#,riding,#,least,what is the first riding ?
583,more,comparee,medals,who,#,medals,ecuador,more,"who received more total medals, ecuador or chile ?"
584,more,comparee,silvers,who,#,silvers,venezuela,more,"who won more silvers, venezuela or chile ?"
585,more or less,index,gold medals,did,#,gold medals,peru,less,did peru win more or less gold medals than chile ?
586,most,comparee,#,who,#,#,#,most,who won the most total medals ?
587,least,comparee,number of gold medals,which,nation,number of gold medals,#,least,which nation received the least number of gold medals ?
588,most,comparee,bronze medals,which,county,bronze medals,county,most,which county had the most bronze medals ?
589,#,difference,#,what,#,#,vladimir gadzhev,nan,what is the difference between vladimir gadzhev and yordan miliev's scores ?
590,top,comparee,goalscorer,who,#,goalscorer,#,least,who was the top goalscorer on this team ?
591,most,comparee,goal scores,who,#,goal scores,#,most,who had the most goal scores ?
592,top,comparee,position,#,position,position,#,least,the top played position according to this chart.
593,last,index,name,is,#,name,#,least,"last name is also a first name beginning with ""n"""
594,same,index,name,is,country,name,#,equal,his/her first name is the same name as a country.
595,first,comparee,american,who,#,american,#,least,who was the first american to enter their respective office ?
596,first,comparee,speaker,whose,country,speaker,name,least,find the country of the first speaker whose name is unknown.
597,first,comparee,#,who,owner,#,#,least,who is the first owner listed in the top portion of the table ?
598,#,difference,notes,what,#,notes,1990,nan,what is the difference between notes in 1990 and 1989 ?
599,first,comparee,position,what,year,position,year,nan,"other than 1984, what year did he place first ?"
600,first,comparee,olympic games,what,venue,olympic games,venue,least,what venue was the first olympic games held in 1984 ?
601,most,comparee,number of times,which,position,number of times,position,most,which position was held the most number of times ?
602,last,comparee,race,what,year,race,year,most,what year was his last race ?
603,last,comparee,train,what,name,train,#,most,what is the name of the last train on the list ?
604,#,difference,#,what,#,#,the number of affiliates galavision has,nan,what is the difference between the number of affiliates galavision has and the number of affiliates azteca 13 has ?
605,larger,index,population,did,river,population,mombasa,nan,did mombasa or tana river have a larger population in 2009 ?
606,larger,comparee,population,#,counties,population,#,nan,name all the counties with an area larger than kilifi.
607,smaller,difference,#,how many,counties,#,#,less,"how many counties are smaller than 10,000 km2 ?"
608,most,comparee,area,which,county,area,county,most,which county has the most area ?
609,largest,comparee,population,which,country,population,county,most,which county has the largest population ?
610,top,comparee,#,which,county,#,#,least,which is the top county in terms of area ?
611,most,comparee,winners,which,county,winners,county,most,which county has the most amount of winners ?
612,first,comparee,winner,who,#,winner,#,least,who is the first winner in 2004 ?
613,first,comparee,winner,who,#,winner,#,least,who is the first winner according to this chart ?
614,first,comparee,historical site,what,#,historical site,#,least,what was the first historical site on the list ?
615,first,comparee,#,which,site,#,bank of montreal,nan,"which site was designated first, bank of montreal or bonsecours market ?"
616,first,comparee,site,which,year,site,year,least,"which year was the first site on this list, completed ?"
617,top,comparee,site,which,#,site,site,least,which site is the top on the chart
618,more,difference,medals,how many,#,medals,#,more,how many more medals does hong kong have than chinese taipei ?
619,first,comparee,gold medals,which,country,gold medals,country,least,which country came in first with 7 gold medals ?
620,least,comparee,gold medals,#,#,gold medals,#,least,"true or false, south korea has the least amount of gold medals."
621,largest,comparee,amount of total medals,which,country,amount of total medals,country,most,which country has the largest amount of total medals ?
622,most,comparee,medals,who,country,medals,#,most,who is the top ranking nation with the most medals received ?
623,first,comparee,#,who,opponent,#,#,least,who was his first opponent in the 2006 fifa world cup qualification round ?
624,top,comparee,#,what,opponent,#,opponent,least,what opponent is listed in the top of the table ?
625,last,comparee,#,which,venue,#,venue,most,in which venue did he last compete in ?
626,#,difference,#,what,years,#,crettyard,nan,what is the difference years won for crettyard and greystones
627,last,comparee,team,what,team,team,#,most,what is the last team on the chart
628,most,comparee,number of wins,which,county,number of wins,county,most,which county had the most number of wins ?
629,first,comparee,#,which,team,#,#,least,which is the first team from the chart
630,#,difference,the number of gold medals,#,#,the number of gold medals,venezuela,nan,calculate the difference in the number of gold medals won between venezuela and colombia.
631,largest,comparee,silver medals,what,country,silver medals,country,most,what country has the largest number of silver medals ?
632,top,comparee,position,who,#,position,#,least,who is at the top of the list ?
633,heavier,difference,#,how many,number,#,#,nan,how many girls were heavier at birth than chimaijem otto ?
634,most,comparee,#,who,#,#,weighed,nan,who weighed the most ?
635,first,comparee,episode,what,name,episode,#,least,what was the name of the first episode of this show ?
636,top,comparee,#,what,episode,#,#,least,what was the top rated episode of this show ?
637,most,comparee,female tennis winners,what,country,female tennis winners,#,most,what country has the most female tennis winners at the asian games ?
638,first,comparee,#,where,year,#,#,least,what was the first year where tamarine tanasugarn won a silver medal in singles ?
639,most,comparee,gold medals,what,country,gold medals,nation,most,what nation had the most gold medals ?
640,most,comparee,champions,which,#,champions,#,most,after malaysia - which country had the most champions between 2001 and 2010 ?
641,last,comparee,intersecting road,what,#,intersecting road,#,most,what is the last intersecting road on the chart ?
642,last,comparee,intersecting road,what,#,intersecting road,#,most,what is the last intersecting road ?
643,#,difference,megawatts,what,#,megawatts,2000,nan,what is the difference of megawatts between the total in 2000 and 2001 ?
644,least,comparee,capacity,what,power,capacity,#,least,what kind of power has the least amount of capacity in 2007 ?
645,least,comparee,thermal grid capacity,what,year,thermal grid capacity,year,least,what year had the least thermal grid capacity ?
646,more,difference,bronze medals,how many,countries,bronze medals,#,more,how many countries received more bronze medals than sweden ?
647,most,comparee,silver medals,which,nation,silver medals,nation,most,which nation has won the most silver medals in the biathlon at the winter paralympics ?
648,top,comparee,gold awards,which,nation,gold awards,nation,least,which nation is the top nation in number of gold awards won ?
649,last,comparee,position,what,competition,position,#,most,"what was the last competition in which a position of ""2nd"" was achieved ?"
650,first,comparee,#,what,competition,#,#,least,what was the first competition this competitor competed in ?
651,least,comparee,#,which,#,#,#,least,which one is the least in notes
652,last,comparee,competition,what,#,competition,#,most,what was the last competition this competitor competed in ?
653,first,comparee,#,which,#,#,state,least,which state placed first in the 1989 miss teen usa competition ?
654,most,comparee,points,which,scorer,points,#,most,which state had the most points in the swimsuit competition ?
655,top,comparee,swimsuit amout,which,scorer,swimsuit amout,#,least,which state has the top swimsuit amount ?
656,#,comparee,#,which,scorer,#,state's,nan,which state's average is almost 9.2 ?
657,top,comparee,evening gown,who,scorer,evening gown,#,least,who was the top scorer in evening gown ?
658,largest,comparee,evening gown amount,what,#,evening gown amount,#,most,what is the largest evening gown amount ?
659,first,difference,#,how many,#,#,#,least,how many sacks did this player have in his first five seasons ?
660,higher,comparee,scoring game,which,#,scoring game,week 1,more,"which was a higher scoring game, week 1 or week 12 ?"
661,first,comparee,#,which,#,#,opponent,least,which opponent was the first one they won against ?
662,last,comparee,team,which,#,team,#,most,which team was the last team that this team faced in the regular season ?
663,least,comparee,#,who,opponent,#,#,least,who was the opponent in the least attended game ?
664,older,comparee,#,who,#,#,leonardo burian,nan,who is older--leonardo burian or darwin torres ?
665,oldest,comparee,#,who,player,#,#,most,who was the oldest player on the squad in the 2011-12 season ?
666,most,comparee,#,which,country,#,county,most,which county is featured the most on the chart ?
667,faster,difference,trains,how many,#,trains,#,nan,how many trains other than the transrapid 07 can go faster than 450km/h ?
668,top,comparee,speed,which,#,speed,#,least,which train has the least top speed ?
669,bigger,comparee,#,which,#,#,yate town's stadium,nan,"which is bigger, yate town's stadium or hand stadium ?"
670,#,difference,capacity,what,#,capacity,penydarren park,nan,what is the difference in the capacity between penydarren park and hand stadium ?
671,more,comparee,#,which,#,#,ladysmead,more,"which allows for more seated, ladysmead or cossham street ?"
672,highest,comparee,number of capacity,which,team,number of capacity,#,most,"besides merthyr town, which other team had the highest number of capacity ?"
673,most,comparee,people,which,stadium,people,#,most,which football stadium holds the most people ?
674,least,comparee,number of people,which,stadium,number of people,stadium,least,which stadium seats the least number of people ?
675,top,comparee,number of capacity,which,stadium,number of capacity,of,least,which of the teams had the top number of capacity ?
676,more,comparee,gold medals,which,country,gold medals,china,more,which country has won more gold medals: china or mexico ?
677,most,comparee,bronze medals,which,country,bronze medals,country,most,which country has the most bronze medals ?
678,longer,comparee,#,which,city's courthouse,#,brattleboro,nan,"which city's courthouse has been in use longer, brattleboro or newport ?"
679,first,comparee,#,where,court house,#,#,least,where was the first court house built ?
680,last,comparee,#,where,location,#,#,most,where is the location (city) of the last u.s. post office and court house on the chart ?
681,first,comparee,#,where,location,#,#,least,where is the location (city) of the first u.s. post office and court house on the chart ?
682,more,comparee,#,who,#,#,scott pfeifer,nan,"who was second more, scott pfeifer or sean nedohin ?"
683,most,comparee,seasons,who,#,seasons,#,most,who had the most seasons in third ?
684,last,comparee,attendance,what,#,attendance,#,more,what was the last game to be attended by more than 2000 people ?
685,first,comparee,#,who,opponent,#,#,least,who was this team's first opponent of the season ?
686,first,comparee,#,what,#,#,the 8th place finisher,least,what was the difference in time between the 8th place finisher and the first place finisher ?
687,faster,comparee,#,who,#,#,canada,nan,who finished faster--canada or slovakia ?
688,slowest,comparee,#,what,time,#,#,nan,what was the slowest time ?
689,#,comparee,#,what,country,#,country,nan,the team from what country ranked first ?
690,slowest,comparee,#,who,driver,#,#,nan,who was the slowest driver to finish the race ?
691,last,comparee,#,what,driver,#,#,most,what driver was last on the list ?
692,first,comparee,single,what,year,single,year,least,what year was kelly marie's first single released
693,more,index,#,were,names,#,11th,more,were there more names ranked 11th or 6th ?
694,top,comparee,position,what,#,position,name,least,what name is at the top of the list ?
695,last,comparee,#,who,#,#,#,most,who is the last name to qualify ?
696,least,index,amount of listings,does,#,amount of listings,7,least,does ranking 7 or 3 have the least amount of listings ?
697,last,comparee,#,who,#,#,#,most,who was the last ranked competitor in group a ?
698,last,comparee,#,who,driver,#,#,most,who was the last driver to actually finish the race ?
699,first,comparee,#,what,driver,#,#,nan,what driver finished first ?
700,last,comparee,#,who,driver,#,#,most,who was the last driver from the uk to actually finish the 56 laps ?
701,longest,comparee,#,what,track,#,#,most,what is the longest track on the album ?
702,longest,difference,length,how,track,length,#,most,how long is the longest track on the album ?
703,last,comparee,track,what,track,track,#,most,what is the last track produced by mr. lee ?
704,first,comparee,track,what,track,track,#,least,what is the first track featuring lil' duval ?
705,last,comparee,#,what,district,#,#,most,what was the last district created ?
706,largest,comparee,#,which,district,#,#,most,which is the largest district in terms of population ?
707,least,comparee,population,what,district,population,district,least,what district has the least amount of population ?
708,first,comparee,#,what,year,#,#,least,what is the first year they scored 6th position in tier 3 division 3 ?
709,last,comparee,#,what,year,#,#,most,what is the last year they played division 4 ?
710,more,comparee,ger numbers,which,year,ger numbers,1898,more,"which had more ger numbers, 1898 or 1893 ?"
711,more,index,#,were,#,#,n31,more,were there more n31 or e34 ordered ?
712,least,comparee,ger numberes,which,year,ger numberes,year,least,which year had the least ger numbers ?
713,last,comparee,year,what,order,year,#,most,what is the order of the last year listed ?
714,last,comparee,position,what,year,position,#,most,what is the last year listed ?
715,top,comparee,position,what,order,position,order,least,what order is listed first at the top of the table ?
716,more,comparee,votes,#,#,votes,#,more,true or false. percy abbot has more votes than james findlay.
717,most,comparee,votes,which,party,votes,party,most,"which party received the most votes, after labour ?"
718,most,comparee,votes,which,candidate,votes,candidate,most,which candidate of the citizens committee has the most votes ?
719,longest,comparee,name,which,candidate,name,candidate,most,which candidate for alderman in 1919 had the longest last name ?
720,least,comparee,amount of votes,which,candidate,amount of votes,candidate,least,which candidate had the least amount of votes ?
721,most,comparee,votes,which,candidate,votes,candidate,most,which candidate had the most votes ?
722,least,comparee,number of votes,which,candidate,number of votes,of,least,which of the labour party candidates had the least number of votes ?
723,shorter,comparee,amount of time,which,team,amount of time,ukraine,less,"which team took a shorter amount of time, ukraine or united states ?"
724,faster,comparee,#,which,team,#,#,nan,which is the only team that chile was faster than in cycling at the 1996 summer olympics men's team pursuit ?
725,first,comparee,rank,which,country,rank,country's,nan,which country's team ranked first ?
726,first,comparee,#,what,nan,#,#,least,what is the total amount of time it took the first three teams to complete the qualifying round ?
727,faster,comparee,#,how many,teams,#,#,nan,how many teams finished faster than 4:10 ?
728,last,comparee,rank,which,country,rank,country's,nan,which country's team ranked last ?
729,#,difference,#,what,years,#,seitz,nan,what is the difference between the year seitz died and the year aizele died ?
730,first,comparee,#,what,name,#,first,least,what first name is just previous to kempf ?
731,last,comparee,#,what,#,#,#,least,what is listed last in the first column ?
732,first,index,#,is,#,#,gwong wai,least,whom is listed first - gwong wai or ma ling-yee ?
733,last,comparee,#,which,pinyin,#,pinyin,nan,which pinyin is listed last ?
734,first,comparee,#,what,nan,#,#,least,what is listed before juk faat wan in the first column ?
735,first,comparee,#,what,nan,#,#,least,what is listed first in the pinyin column ?
736,top,index,position,is,#,position,#,least,whom is listed at the top of the chart ?
737,first,comparee,name,what,pinyin,name,#,least,what is the pinyin transliteration of the first name in the table ?
738,last,index,#,is,pinyin,#,#,nan,whom is listed last ?
739,#,difference,total score,what,#,total score,andrey moiseev,nan,what is the difference between andrey moiseev's total score and marcin horbacz's total score ?
740,most,comparee,points,who,#,points,sergio salazar,most,"who had the most points in running, sergio salazar or eric walther ?"
741,least,comparee,amount of points,which,country,amount of points,country,least,which country had the competitor with the least amount of points ?
742,most,comparee,points,which,athelete,points,athlete,most,which athlete scored the most points ?
743,most,comparee,penalties,which,athelete,penalties,athlete,most,which athlete had the most penalties in riding ?
744,first,comparee,place,who,#,place,#,least,"who was the first place finisher at the december 2, 2005 games in lake louise ?"
745,top,comparee,competitor,who,#,competitor,#,least,"who was the top competitor at the december 9, 2005 games in aspen ?"
746,first,comparee,canadian,who,#,canadian,#,least,who was the first canadian to place third ?
747,first,index,#,did,#,#,#,nan,did sweden or spain win first ?
