,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
538,first,1988–89 FA Cup,Tie no Home team Score Away team Date,difference,#,how many,nan,#,#,least,how many consecutive games did enfield and leyton orient play in the first round proper ?
539,first,SuperClasico,Year Derby\nwinner Galaxy Draw Chivas,comparee,#,who,name,#,#,least,who one the first match up in 2005 ?
540,more,1984 Central American and Caribbean Junior Championships in Athletics,LOCATION Nation,comparee,gold medals,who,#,gold medals,jamaica,more,who won more gold medals between jamaica and mexico ?
541,top,1984 Central American and Caribbean Junior Championships in Athletics,Rank Nation Gold Silver Bronze Total,comparee,silver medals,what,country,silver medals,#,least,what country had the top number of silver medals ?
542,last,List of bridges on the National Register of Historic Places in Mississippi,Name Built Listed Location County Type,comparee,#,what,bridge,#,#,most,what was the last bridge built ?
543,first,List of bridges on the National Register of Historic Places in Mississippi,Name Built Listed Location County Type,comparee,position,which,#,position,#,least,which of these bridges was the first one built ?
544,first,Fumio Imamura,DURATION MISC|MISC MISC|MISC Year Competition Competition,comparee,asian games,what,year,asian games,year,least,what year did the first asian games take place ?
545,more,Television stations in Veracruz,Affiliates,difference,affiliates,how many,networks,affiliates,#,more,how many networks have more affiliates than canal de las estrellas ?
546,most,Television stations in Veracruz,Affiliates,comparee,affiliates,who,#,affiliates,#,most,who has the most number of affiliates ?
547,most,Television stations in Veracruz,Owner,comparee,networks,which,owner,networks,#,most,which owner has the most networks ?
548,more,1948–49 Illinois Fighting Illini men's basketball team,PERSON Opponent,index,points,were,#,points,butler,more,were more points scored against butler or purdue ?
549,larger,1948–49 Illinois Fighting Illini men's basketball team,Attendance,comparee,attendance,which,#,attendance,january 8,nan,"which game had a larger attendance, january 8 or december 11 ?"
550,#,1948–49 Illinois Fighting Illini men's basketball team,Attendance,difference,attendance,what,attendance,attendance,the december 11 game against depaul,nan,what was the difference in attendance between the december 11 game against depaul and the december 30 game against colgate ?
551,more,1948–49 Illinois Fighting Illini men's basketball team,Date Opponent Score Result Location Attendance,comparee,points,which,#,points,first,least,"which game did illinois score more points, the first or last ?"
552,last,1948–49 Illinois Fighting Illini men's basketball team,Date Opponent Score Result Location Attendance,comparee,position,what,team,position,#,most,what was the last team this team played against in this season ?
553,last,AC power plugs and sockets,IEC\nWorld Plugs\nType1 Standard Power\nrating Earthed Polarised Fused Insulated\npins Europlug\nCompatible,comparee,iec world plugs type,what,#,iec world plugs type,#,most,what is the last iec world plugs type in the list ?
554,last,AC power plugs and sockets,IEC\nWorld Plugs\nType1 Standard Power\nrating Earthed Polarised Fused Insulated\npins Europlug\nCompatible,comparee,power,what,#,power,#,most,what is the last power rating on the chart ?
555,first,AC power plugs and sockets,IEC\nWorld Plugs\nType1 Standard Power\nrating Earthed Polarised Fused Insulated\npins Europlug\nCompatible,comparee,position,what,type,position,#,least,what is the first type and standard on the chart
556,higher,WIVM-LD,PSIP,comparee,#,which,psip,#,wivx-id,nan,"which psip is higher, wivx-ld or wivm-ld ?"
557,more,WIVM-LD,LOCATION Location Location,comparee,stations,which,location,stations,loudonville,more,"which location has more stations, loudonville or newcomerstown ?"
558,most,WIVM-LD,Programming,comparee,#,which,#,#,programming,nan,which programming is played the most ?
559,#,2007 Houston Astros season,#,difference,runs,what,#,runs,#,nan,what was the difference in runs between the two teams on september 15 ?
560,first,Noosa Festival of Surfing,Event,comparee,#,what,event,#,event,least,in what event did chelsea williams win her first title ?
561,top,Noosa Festival of Surfing,Event Winner Second Third Fourth,comparee,#,who,performer,#,#,least,who was the top performer in the 2008 telstra men's pro ?
562,first,Noosa Festival of Surfing,Event,comparee,#,which,event,#,event,least,at which event did taylor jensen first win ?
563,#,Northwest Missouri State Bearcats football,Year NW Rank Venue Opp Rank Opponent Score W/L Round Notes,comparee,points,what,#,points,#,nan,what was the difference in points scored between the two teams in 1996 ?
564,most,Northwest Missouri State Bearcats football,Year NW Rank Venue Opp Rank Opponent Score W/L Round Notes,comparee,points,who,name,points,#,most,who scored the most points against nw missouri state in a quarterfinal ?
565,most,Northwest Missouri State Bearcats football,Year NW Rank Venue Opp Rank Opponent Score W/L Round Notes,comparee,points,what,#,points,#,most,what was the most points the team scored ?
566,last,Atlético Arteixo,Season,difference,season,what,#,season,#,most,what was the difference in placing between the 1988/89 season and the last season before it ?
567,first,Atlético Arteixo,Season,comparee,#,what,#,#,season,least,in what season did they finish in first place ?
568,first,Atlético Arteixo,Season,comparee,#,which,#,#,season,least,which season places first in their division ?
569,#,Liquefied natural gas,Plant Name Location Country Startup Date Capacity (mmtpa) Corporation,difference,number,what,#,number,the number of plants in algeria,nan,what is the difference between the number of plants in algeria and the number of plants in indonesia ?
570,largest,Liquefied natural gas,Plant Name Location Country Startup Date Capacity (mmtpa) Corporation,comparee,capacity,what,#,capacity,plant,most,"next to rasgas, what plant has the largest capacity ?"
571,first,Liquefied natural gas,Plant Name Location Country Startup Date Capacity (mmtpa) Corporation,comparee,#,which,plant,#,plant,least,which plant was the first to open ?
572,most,Liquefied natural gas,Country,comparee,#,which,plants,#,country,most,which country had the most plants start after 1990 ?
573,most,Liquefied natural gas,Country,comparee,#,which,plants,#,country,most,which country has the most plants ?
574,oldest,Liquefied natural gas,Plant Name Location Country Startup Date Capacity (mmtpa) Corporation,comparee,#,which,plant,#,plant,nan,which plant is the oldest ?
575,first,1992 Spanish Grand Prix,Driver,comparee,position,who,driver,position,#,least,who is the first driver on the list ?
576,last,1992 Spanish Grand Prix,Constructor,comparee,position,who,constructor,position,#,most,who is the last constructor ?
577,last,List of awards and nominations received by Cheers,Year Category Nominee(s) Episode Result,comparee,position,what,award,position,#,most,what was the last award to be won by this show ?
578,larger,"New Democratic Party candidates, 2008 Canadian federal election",Votes,comparee,votes,who,#,votes,macneill,nan,"who got a larger number of votes, macneill or olsson ?"
579,more,"New Democratic Party candidates, 2008 Canadian federal election",Votes,difference,votes,how many,candidates,votes,#,more,how many candidates had more votes than tamara lorincz ?
580,least,"New Democratic Party candidates, 2008 Canadian federal election",Votes,comparee,votes,who,#,votes,#,least,who received the least amount of votes ?
581,most,"New Democratic Party candidates, 2008 Canadian federal election",Votes,comparee,votes,who,#,votes,#,most,who has the most votes ?
582,first,"New Democratic Party candidates, 2008 Canadian federal election",Riding,comparee,riding,what,#,riding,#,least,what is the first riding ?
583,more,Shooting at the 2013 Bolivarian Games,LOCATION Nation,comparee,medals,who,#,medals,ecuador,more,"who received more total medals, ecuador or chile ?"
584,more,Shooting at the 2013 Bolivarian Games,LOCATION Nation,comparee,silvers,who,#,silvers,venezuela,more,"who won more silvers, venezuela or chile ?"
585,more or less,Shooting at the 2013 Bolivarian Games,LOCATION Nation,index,gold medals,did,#,gold medals,peru,less,did peru win more or less gold medals than chile ?
586,most,Shooting at the 2013 Bolivarian Games,Rank Nation Gold Silver Bronze Total,comparee,#,who,#,#,#,most,who won the most total medals ?
587,least,Shooting at the 2013 Bolivarian Games,Nation,comparee,number of gold medals,which,nation,number of gold medals,#,least,which nation received the least number of gold medals ?
588,most,Shooting at the 2013 Bolivarian Games,Rank Nation Gold Silver Bronze Total,comparee,bronze medals,which,county,bronze medals,county,most,which county had the most bronze medals ?
589,#,2010–11 PFC Levski Sofia season,PERSON|PERSON Player,difference,#,what,#,#,vladimir gadzhev,nan,what is the difference between vladimir gadzhev and yordan miliev's scores ?
590,top,2010–11 PFC Levski Sofia season,Player League Cup Europa League Total,comparee,goalscorer,who,#,goalscorer,#,least,who was the top goalscorer on this team ?
591,most,2010–11 PFC Levski Sofia season,Player League Cup Europa League Total,comparee,goal scores,who,#,goal scores,#,most,who had the most goal scores ?
592,top,2013 Chicago Bears season,Position,comparee,position,#,position,position,#,least,the top played position according to this chart.
593,last,2013 Chicago Bears season,Position Player Free agency\ntag Date signed 2013 team,index,name,is,#,name,#,least,"last name is also a first name beginning with ""n"""
594,same,2013 Chicago Bears season,Position Player Free agency\ntag Date signed 2013 team,index,name,is,country,name,#,equal,his/her first name is the same name as a country.
595,first,List of Parliamentary Speakers in the Americas in 1970,State Title Name Entered office,comparee,american,who,#,american,#,least,who was the first american to enter their respective office ?
596,first,List of Parliamentary Speakers in the Americas in 1970,Name,comparee,speaker,whose,country,speaker,name,least,find the country of the first speaker whose name is unknown.
597,first,List of ships built at the Fore River Shipyard,Owner,comparee,#,who,owner,#,#,least,who is the first owner listed in the top portion of the table ?
598,#,Dietmar Mögenburg,DATE Notes Year,difference,notes,what,#,notes,1990,nan,what is the difference between notes in 1990 and 1989 ?
599,first,Dietmar Mögenburg,DURATION Year Position,comparee,position,what,year,position,year,nan,"other than 1984, what year did he place first ?"
600,first,Dietmar Mögenburg,MISC|MISC MISC|MISC MISC|MISC Venue Competition Competition Competition,comparee,olympic games,what,venue,olympic games,venue,least,what venue was the first olympic games held in 1984 ?
601,most,Dietmar Mögenburg,Position,comparee,number of times,which,position,number of times,position,most,which position was held the most number of times ?
602,last,Dietmar Mögenburg,DURATION Year,comparee,race,what,year,race,year,most,what year was his last race ?
603,last,List of trains at Chennai Central railway station,No. Train No. Origin Destination Train Name,comparee,train,what,name,train,#,most,what is the name of the last train on the list ?
604,#,Television stations in Morelos,Network name Flagship Programming type Owner Affiliates,difference,#,what,#,#,the number of affiliates galavision has,nan,what is the difference between the number of affiliates galavision has and the number of affiliates azteca 13 has ?
605,larger,Coast Province,LOCATION County,index,population,did,river,population,mombasa,nan,did mombasa or tana river have a larger population in 2009 ?
606,larger,Coast Province,Code County Former Province Area (km2) Population\nCensus 2009 Capital,comparee,population,#,counties,population,#,nan,name all the counties with an area larger than kilifi.
607,smaller,Coast Province,Code County Former Province Area (km2) Population\nCensus 2009 Capital,difference,#,how many,counties,#,#,less,"how many counties are smaller than 10,000 km2 ?"
608,most,Coast Province,County,comparee,area,which,county,area,county,most,which county has the most area ?
609,largest,Coast Province,County,comparee,population,which,country,population,county,most,which county has the largest population ?
610,top,Coast Province,County,comparee,#,which,county,#,#,least,which is the top county in terms of area ?
611,most,Leinster Intermediate Club Hurling Championship,County County,comparee,winners,which,county,winners,county,most,which county has the most amount of winners ?
612,first,Leinster Intermediate Club Hurling Championship,Winner,comparee,winner,who,#,winner,#,least,who is the first winner in 2004 ?
613,first,Leinster Intermediate Club Hurling Championship,Winner,comparee,winner,who,#,winner,#,least,who is the first winner according to this chart ?
614,first,List of National Historic Sites of Canada in Montreal,Site Date(s) Designated Location Description,comparee,historical site,what,#,historical site,#,least,what was the first historical site on the list ?
615,first,List of National Historic Sites of Canada in Montreal,ORGANIZATION|ORGANIZATION|ORGANIZATION Site Site,comparee,#,which,site,#,bank of montreal,nan,"which site was designated first, bank of montreal or bonsecours market ?"
616,first,List of National Historic Sites of Canada in Montreal,Site,comparee,site,which,year,site,year,least,"which year was the first site on this list, completed ?"
617,top,List of National Historic Sites of Canada in Montreal,Site,comparee,site,which,#,site,site,least,which site is the top on the chart
618,more,2011 Asian Cycling Championships,Rank Nation Gold Silver Bronze Total,difference,medals,how many,#,medals,#,more,how many more medals does hong kong have than chinese taipei ?
619,first,2011 Asian Cycling Championships,Rank Nation Gold Silver Bronze Total,comparee,gold medals,which,country,gold medals,country,least,which country came in first with 7 gold medals ?
620,least,2011 Asian Cycling Championships,Rank Nation Gold Silver Bronze Total,comparee,gold medals,#,#,gold medals,#,least,"true or false, south korea has the least amount of gold medals."
621,largest,2011 Asian Cycling Championships,Rank Nation Gold Silver Bronze Total,comparee,amount of total medals,which,country,amount of total medals,country,most,which country has the largest amount of total medals ?
622,most,2011 Asian Cycling Championships,Rank Nation Gold Silver Bronze Total,comparee,medals,who,country,medals,#,most,who is the top ranking nation with the most medals received ?
623,first,Eddie Johnson (American soccer),# Opponent,comparee,#,who,opponent,#,#,least,who was his first opponent in the 2006 fifa world cup qualification round ?
624,top,Eddie Johnson (American soccer),# Opponent,comparee,#,what,opponent,#,opponent,least,what opponent is listed in the top of the table ?
625,last,Eddie Johnson (American soccer),# Venue,comparee,#,which,venue,#,venue,most,in which venue did he last compete in ?
626,#,Leinster Intermediate Club Football Championship,Team,difference,#,what,years,#,crettyard,nan,what is the difference years won for crettyard and greystones
627,last,Leinster Intermediate Club Football Championship,Team,comparee,team,what,team,team,#,most,what is the last team on the chart
628,most,Leinster Intermediate Club Football Championship,County,comparee,number of wins,which,county,number of wins,county,most,which county had the most number of wins ?
629,first,Leinster Intermediate Club Football Championship,Team,comparee,#,which,team,#,#,least,which is the first team from the chart
630,#,Cue sports at the 2013 Bolivarian Games,LOCATION Nation,difference,the number of gold medals,#,#,the number of gold medals,venezuela,nan,calculate the difference in the number of gold medals won between venezuela and colombia.
631,largest,Cue sports at the 2013 Bolivarian Games,Rank Nation Gold Silver Bronze Total,comparee,silver medals,what,country,silver medals,country,most,what country has the largest number of silver medals ?
632,top,California Western Railroad,Number Builder Type Date Works number Notes,comparee,position,who,#,position,#,least,who is at the top of the list ?
633,heavier,Chukwu octuplets,Full Name Nickname Gender Weight at birth Meaning,difference,#,how many,number,#,#,nan,how many girls were heavier at birth than chimaijem otto ?
634,most,Chukwu octuplets,Full Name Nickname Gender Weight at birth Meaning,comparee,#,who,#,#,weighed,nan,who weighed the most ?
635,first,Mother (TV series), Episode title Romanized title Translation of title Broadcast date Ratings,comparee,episode,what,name,episode,#,least,what was the name of the first episode of this show ?
636,top,Mother (TV series), Episode title Romanized title Translation of title Broadcast date Ratings,comparee,#,what,episode,#,#,least,what was the top rated episode of this show ?
637,most,Tennis at the Asian Games,Year Location Gold Silver Bronze,comparee,female tennis winners,what,country,female tennis winners,#,most,what country has the most female tennis winners at the asian games ?
638,first,Tennis at the Asian Games,DURATION Year,comparee,#,where,year,#,#,least,what was the first year where tamarine tanasugarn won a silver medal in singles ?
639,most,Tennis at the Asian Games,Year Location Gold Silver Bronze,comparee,gold medals,what,country,gold medals,nation,most,what nation had the most gold medals ?
640,most,Singapore Open (darts),Year Champion Score Runner-Up Total\nPrize Money Champion Runner-Up,comparee,champions,which,#,champions,#,most,after malaysia - which country had the most champions between 2001 and 2010 ?
641,last,Alberta Highway 566,Intersecting road,comparee,intersecting road,what,#,intersecting road,#,most,what is the last intersecting road on the chart ?
642,last,Alberta Highway 566,Intersecting road,comparee,intersecting road,what,#,intersecting road,#,most,what is the last intersecting road ?
643,#,Electricity in Sri Lanka,DATE 2000,difference,megawatts,what,#,megawatts,2000,nan,what is the difference of megawatts between the total in 2000 and 2001 ?
644,least,Electricity in Sri Lanka, 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012,comparee,capacity,what,power,capacity,#,least,what kind of power has the least amount of capacity in 2007 ?
645,least,Electricity in Sri Lanka, 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012,comparee,thermal grid capacity,what,year,thermal grid capacity,year,least,what year had the least thermal grid capacity ?
646,more,Biathlon at the Winter Paralympics,Rank Nation Gold Silver Bronze Total,difference,bronze medals,how many,countries,bronze medals,#,more,how many countries received more bronze medals than sweden ?
647,most,Biathlon at the Winter Paralympics,Nation,comparee,silver medals,which,nation,silver medals,nation,most,which nation has won the most silver medals in the biathlon at the winter paralympics ?
648,top,Biathlon at the Winter Paralympics,Nation,comparee,gold awards,which,nation,gold awards,nation,least,which nation is the top nation in number of gold awards won ?
649,last,José Amado García,Competition Position,comparee,position,what,competition,position,#,most,"what was the last competition in which a position of ""2nd"" was achieved ?"
650,first,José Amado García,Competition,comparee,#,what,competition,#,#,least,what was the first competition this competitor competed in ?
651,least,Laurens Looije,Year Competition Venue Position Notes,comparee,#,which,#,#,#,least,which one is the least in notes
652,last,Laurens Looije,Competition,comparee,competition,what,#,competition,#,most,what was the last competition this competitor competed in ?
653,first,Miss Teen USA 1989,State,comparee,#,which,#,#,state,least,which state placed first in the 1989 miss teen usa competition ?
654,most,Miss Teen USA 1989,State Interview Swimsuit Evening Gown Average,comparee,points,which,scorer,points,#,most,which state had the most points in the swimsuit competition ?
655,top,Miss Teen USA 1989,State Interview Swimsuit Evening Gown Average,comparee,swimsuit amout,which,scorer,swimsuit amout,#,least,which state has the top swimsuit amount ?
656,#,Miss Teen USA 1989,State Interview Swimsuit Evening Gown Average,comparee,#,which,scorer,#,state's,nan,which state's average is almost 9.2 ?
657,top,Miss Teen USA 1989,TIME|O Evening Gown,comparee,evening gown,who,scorer,evening gown,#,least,who was the top scorer in evening gown ?
658,largest,Miss Teen USA 1989,State Interview Swimsuit Evening Gown Average,comparee,evening gown amount,what,#,evening gown amount,#,most,what is the largest evening gown amount ?
659,first,Justin Smith (American football),Year Team Games Combined Tackles Tackles Assisted Tackles Sacks Forced Fumbles Fumble Recoveries Fumble Return Yards Interceptions Interception Return Yards Yards per Interception Return Longest Interception Return Interceptions Returned for Touchdown Passes Defended,difference,#,how many,#,#,#,least,how many sacks did this player have in his first five seasons ?
660,higher,1978 Minnesota Vikings season,Week Date Opponent Result Attendance,comparee,scoring game,which,#,scoring game,week 1,more,"which was a higher scoring game, week 1 or week 12 ?"
661,first,1978 Minnesota Vikings season,Opponent,comparee,#,which,#,#,opponent,least,which opponent was the first one they won against ?
662,last,1978 Minnesota Vikings season,Week Date Opponent Result Attendance,comparee,team,which,#,team,#,most,which team was the last team that this team faced in the regular season ?
663,least,1978 Minnesota Vikings season,Opponent,comparee,#,who,opponent,#,#,least,who was the opponent in the least attended game ?
664,older,2011–12 Club Nacional de Football season,No. Name Position Date of Birth (Age) Signed from Notes,comparee,#,who,#,#,leonardo burian,nan,who is older--leonardo burian or darwin torres ?
665,oldest,2011–12 Club Nacional de Football season,No. Name Position Date of Birth (Age) Signed from Notes,comparee,#,who,player,#,#,most,who was the oldest player on the squad in the 2011-12 season ?
666,most,List of National Natural Landmarks in Hawaii,County,comparee,#,which,country,#,county,most,which county is featured the most on the chart ?
667,faster,Transrapid,Date Train Location Present location Comments Top speed (km/h),difference,trains,how many,#,trains,#,nan,how many trains other than the transrapid 07 can go faster than 450km/h ?
668,top,Transrapid,Date Train Location Present location Comments Top speed (km/h),comparee,speed,which,#,speed,#,least,which train has the least top speed ?
669,bigger,2012–13 Southern Football League,Team Stadium Capacity Seated,comparee,#,which,#,#,yate town's stadium,nan,"which is bigger, yate town's stadium or hand stadium ?"
670,#,2012–13 Southern Football League,Capacity Stadium,difference,capacity,what,#,capacity,penydarren park,nan,what is the difference in the capacity between penydarren park and hand stadium ?
671,more,2012–13 Southern Football League,Stadium,comparee,#,which,#,#,ladysmead,more,"which allows for more seated, ladysmead or cossham street ?"
672,highest,2012–13 Southern Football League,Team,comparee,number of capacity,which,team,number of capacity,#,most,"besides merthyr town, which other team had the highest number of capacity ?"
673,most,2012–13 Southern Football League,Stadium,comparee,people,which,stadium,people,#,most,which football stadium holds the most people ?
674,least,2012–13 Southern Football League,Stadium,comparee,number of people,which,stadium,number of people,stadium,least,which stadium seats the least number of people ?
675,top,2012–13 Southern Football League,Stadium,comparee,number of capacity,which,stadium,number of capacity,of,least,which of the teams had the top number of capacity ?
676,more,Olympic skeet,Year Place Gold Silver Bronze,comparee,gold medals,which,country,gold medals,china,more,which country has won more gold medals: china or mexico ?
677,most,Olympic skeet,Year Place Gold Silver Bronze,comparee,bronze medals,which,country,bronze medals,country,most,which country has the most bronze medals ?
678,longer,List of United States federal courthouses in Vermont,LOCATION City,comparee,#,which,city's courthouse,#,brattleboro,nan,"which city's courthouse has been in use longer, brattleboro or newport ?"
679,first,List of United States federal courthouses in Vermont,Courthouse City Street address Jurisdiction Dates of use Named for,comparee,#,where,court house,#,#,least,where was the first court house built ?
680,last,List of United States federal courthouses in Vermont,Courthouse City Street address Jurisdiction Dates of use Named for,comparee,#,where,location,#,#,most,where is the location (city) of the last u.s. post office and court house on the chart ?
681,first,List of United States federal courthouses in Vermont,Courthouse City Street address Jurisdiction Dates of use Named for,comparee,#,where,location,#,#,least,where is the location (city) of the first u.s. post office and court house on the chart ?
682,more,David Nedohin,PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON Second Second Second Second Second Second Second Second Second,comparee,#,who,#,#,scott pfeifer,nan,"who was second more, scott pfeifer or sean nedohin ?"
683,most,David Nedohin,Season Skip Third Second Lead Events,comparee,seasons,who,#,seasons,#,most,who had the most seasons in third ?
684,last,2010–11 Cornish Pirates season,Attendance,comparee,attendance,what,#,attendance,#,more,what was the last game to be attended by more than 2000 people ?
685,first,2010–11 Cornish Pirates season, Date Opponents H / A Result Score Attendance,comparee,#,who,opponent,#,#,least,who was this team's first opponent of the season ?
686,first,2011 IPC Alpine Skiing World Championships – Slalom,Rank Bib Name Country Run 1 Rank Run 2 Rank Total Difference,comparee,#,what,#,#,the 8th place finisher,least,what was the difference in time between the 8th place finisher and the first place finisher ?
687,faster,2011 IPC Alpine Skiing World Championships – Slalom,LOCATION Country,comparee,#,who,#,#,canada,nan,who finished faster--canada or slovakia ?
688,slowest,2011 IPC Alpine Skiing World Championships – Slalom,Rank Bib Name Country Run 1 Rank Run 2 Rank Total Difference,comparee,#,what,time,#,#,nan,what was the slowest time ?
689,#,2011 IPC Alpine Skiing World Championships – Slalom,Country,comparee,#,what,country,#,country,nan,the team from what country ranked first ?
690,slowest,2009 Chinese Grand Prix,Driver,comparee,#,who,driver,#,#,nan,who was the slowest driver to finish the race ?
691,last,2009 Chinese Grand Prix,Driver,comparee,#,what,driver,#,#,most,what driver was last on the list ?
692,first,Kelly Marie,Release date Single title UK Singles Chart\nposition French\nCharts German\nCharts Irish\nCharts Various,comparee,single,what,year,single,year,least,what year was kelly marie's first single released
693,more,2011 World Youth Championships in Athletics – Girls' high jump,"Rank Name Nationality 1,62 1,67 1,72 1,75 Notes",index,#,were,names,#,11th,more,were there more names ranked 11th or 6th ?
694,top,2011 World Youth Championships in Athletics – Girls' high jump,Name,comparee,position,what,#,position,name,least,what name is at the top of the list ?
695,last,2011 World Youth Championships in Athletics – Girls' high jump,"Rank Name Nationality 1,62 1,67 1,72 1,75 Notes",comparee,#,who,#,#,#,most,who is the last name to qualify ?
696,least,2011 World Youth Championships in Athletics – Girls' high jump,NUMBER NUMBER Rank Rank,index,amount of listings,does,#,amount of listings,7,least,does ranking 7 or 3 have the least amount of listings ?
697,last,2011 World Youth Championships in Athletics – Girls' high jump,"Rank Name Nationality 1,62 1,67 1,72 1,75 Notes",comparee,#,who,#,#,#,most,who was the last ranked competitor in group a ?
698,last,2005 Malaysian Grand Prix,Driver,comparee,#,who,driver,#,#,most,who was the last driver to actually finish the race ?
699,first,2005 Malaysian Grand Prix,Driver,comparee,#,what,driver,#,#,nan,what driver finished first ?
700,last,2005 Malaysian Grand Prix,Driver,comparee,#,who,driver,#,#,most,who was the last driver from the uk to actually finish the 56 laps ?
701,longest,Life Goes On (Trae album),#,comparee,#,what,track,#,#,most,what is the longest track on the album ?
702,longest,Life Goes On (Trae album),# Length,difference,length,how,track,length,#,most,how long is the longest track on the album ?
703,last,Life Goes On (Trae album),#,comparee,track,what,track,track,#,most,what is the last track produced by mr. lee ?
704,first,Life Goes On (Trae album),#,comparee,track,what,track,track,#,least,what is the first track featuring lil' duval ?
705,last,List of districts of Lima,Districts UBIGEO Area\n(km²) Population Population density\n(/km²) Created Postal\ncode,comparee,#,what,district,#,#,most,what was the last district created ?
706,largest,List of districts of Lima,Districts UBIGEO Area\n(km²) Population Population density\n(/km²) Created Postal\ncode,comparee,#,which,district,#,#,most,which is the largest district in terms of population ?
707,least,List of districts of Lima,Population,comparee,population,what,district,population,district,least,what district has the least amount of population ?
708,first,Arbrå BK,Season Level Division Section Position Movements,comparee,#,what,year,#,#,least,what is the first year they scored 6th position in tier 3 division 3 ?
709,last,Arbrå BK,Season Level Division Section Position Movements,comparee,#,what,year,#,#,most,what is the last year they played division 4 ?
710,more,GER Class N31,DURATION DATE DATE Year Year Year,comparee,ger numbers,which,year,ger numbers,1898,more,"which had more ger numbers, 1898 or 1893 ?"
711,more,GER Class N31,Order,index,#,were,#,#,n31,more,were there more n31 or e34 ordered ?
712,least,GER Class N31,DURATION Year,comparee,ger numberes,which,year,ger numberes,year,least,which year had the least ger numbers ?
713,last,GER Class N31,DURATION Year Order,comparee,year,what,order,year,#,most,what is the order of the last year listed ?
714,last,GER Class N31,DURATION Year,comparee,position,what,year,position,#,most,what is the last year listed ?
715,top,GER Class N31,Order,comparee,position,what,order,position,order,least,what order is listed first at the top of the table ?
716,more,"Edmonton municipal election, 1919",Votes,comparee,votes,#,#,votes,#,more,true or false. percy abbot has more votes than james findlay.
717,most,"Edmonton municipal election, 1919",Party Votes,comparee,votes,which,party,votes,party,most,"which party received the most votes, after labour ?"
718,most,"Edmonton municipal election, 1919",Candidate Votes,comparee,votes,which,candidate,votes,candidate,most,which candidate of the citizens committee has the most votes ?
719,longest,"Edmonton municipal election, 1919",Candidate,comparee,name,which,candidate,name,candidate,most,which candidate for alderman in 1919 had the longest last name ?
720,least,"Edmonton municipal election, 1919",Candidate,comparee,amount of votes,which,candidate,amount of votes,candidate,least,which candidate had the least amount of votes ?
721,most,"Edmonton municipal election, 1919",Candidate Votes,comparee,votes,which,candidate,votes,candidate,most,which candidate had the most votes ?
722,least,"Edmonton municipal election, 1919",Candidate,comparee,number of votes,which,candidate,number of votes,of,least,which of the labour party candidates had the least number of votes ?
723,shorter,Cycling at the 1996 Summer Olympics – Men's team pursuit,LOCATION Team Team,comparee,amount of time,which,team,amount of time,ukraine,less,"which team took a shorter amount of time, ukraine or united states ?"
724,faster,Cycling at the 1996 Summer Olympics – Men's team pursuit,Team,comparee,#,which,team,#,#,nan,which is the only team that chile was faster than in cycling at the 1996 summer olympics men's team pursuit ?
725,first,Cycling at the 1996 Summer Olympics – Men's team pursuit,Rank,comparee,rank,which,country,rank,country's,nan,which country's team ranked first ?
726,first,Cycling at the 1996 Summer Olympics – Men's team pursuit,Rank Team Names Time Qualification,comparee,#,what,nan,#,#,least,what is the total amount of time it took the first three teams to complete the qualifying round ?
727,faster,Cycling at the 1996 Summer Olympics – Men's team pursuit,Rank Team Names Time Qualification,comparee,#,how many,teams,#,#,nan,how many teams finished faster than 4:10 ?
728,last,Cycling at the 1996 Summer Olympics – Men's team pursuit,Rank,comparee,rank,which,country,rank,country's,nan,which country's team ranked last ?
729,#,"Saint Mary of the Snows Church, Reșița",PERSON First Name,difference,#,what,years,#,seitz,nan,what is the difference between the year seitz died and the year aizele died ?
730,first,"Saint Mary of the Snows Church, Reșița",First Name Surname Death year Beginning of\nservice End of\nservice Notes,comparee,#,what,name,#,first,least,what first name is just previous to kempf ?
731,last,Bak Mei, Chinese Pinyin Cantonese Yale Hakka pinjim,comparee,#,what,#,#,#,least,what is listed last in the first column ?
732,first,Bak Mei, Chinese Pinyin Cantonese Yale Hakka pinjim,index,#,is,#,#,gwong wai,least,whom is listed first - gwong wai or ma ling-yee ?
733,last,Bak Mei,Pinyin,comparee,#,which,pinyin,#,pinyin,nan,which pinyin is listed last ?
734,first,Bak Mei, Chinese Pinyin Cantonese Yale Hakka pinjim,comparee,#,what,nan,#,#,least,what is listed before juk faat wan in the first column ?
735,first,Bak Mei, Chinese Pinyin Cantonese Yale Hakka pinjim,comparee,#,what,nan,#,#,least,what is listed first in the pinyin column ?
736,top,Bak Mei, Chinese Pinyin Cantonese Yale Hakka pinjim,index,position,is,#,position,#,least,whom is listed at the top of the chart ?
737,first,Bak Mei,Pinyin,comparee,name,what,pinyin,name,#,least,what is the pinyin transliteration of the first name in the table ?
738,last,Bak Mei,Pinyin,index,#,is,pinyin,#,#,nan,whom is listed last ?
